0,-1,http://www.bjjtgl.gov.cn/publish/portal0/,1,北京,beijing,京,1,北京,beijing
6,6,http://www.gzjd.gov.cn/cgs/html/violation/visitor.html,3,广州,guangzhou,粤A,20,广东,guangdong
6,6,http://www.stc.gov.cn/WSBS/XXCX/JDCCX/201310/t20131030_443.htm,4,深圳,shenzhen,粤B,30,广东,guangdong
6,0,http://www.cqjg.gov.cn/,8,重庆,chongqing,渝,45,重庆,chongqing
6,0,http://www.hzti.com/service/qry/violation_veh.aspx?pgid=&type=1&node=249,9,杭州,hangzhou,浙A,50,浙江,zhejiang
0,6,http://www.njjg.gov.cn:81/simplequery/simplequery.aspx,11,南京,nanjing,苏A,55,江苏,jiangsu
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,12,武汉,wuhan,鄂A,57,湖北,hubei
0,6,http://www.wxga.gov.cn/jiaoguan/show.php?cid=3&id=1331,14,无锡,wuxi,苏B,52,江苏,jiangsu
6,0,http://wf.nbjj.gov.cn/,15,宁波,ningbo,浙B,51,浙江,zhejiang
0,6,http://czjxj.czinfo.net/dzjccx.asp,17,常州,changzhou,苏D,89,江苏,jiangsu
-1,0,http://www.zzcgs.com.cn/,18,郑州,zhengzhou,豫A,73,河南,henan
7,6,http://www.szcgs.gov.cn/index4.html,19,苏州,su1zhou,苏E,80,江苏,jiangsu
0,-1,http://xianjj.gov.cn/,20,西安,xian,陕A,42,陕西,shan3xi
4,0,http://218.25.58.44/searchsys/,21,沈阳,shenyang,辽A,66,辽宁,liaoning
-1,0,http://www.jnjj.com/jnjjwebnew/Member/carShow.aspx,23,济南,jinan,鲁A,96,山东,shandong
4,4,http://www.qdpolice.gov.cn/cn/service/serviceOnline.do?method=indexTraffic&type=traffic,24,青岛,qingdao,鲁B,60,山东,shandong
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,28,哈尔滨,haerbin,黑A,105,黑龙江,heilongjiang
6,6,http://jj.gdga.gov.cn/,29,珠海,zhuhai,粤C,108,广东,guangdong
6,6,,30,福州,fu1zhou,闽A,44,福建,fujian
6,6,,31,厦门,shamen,闽D,62,福建,fujian
6,0,http://www.tzga.gov.cn:6080/wscgs/vio.do?act=veh_vio_page,32,台州,tai1zhou,浙J,191,浙江,zhejiang
6,0,http://www.dalianjiaojing.com/chaxun/vioVehFind.htm,34,大连,dalian,辽B,65,辽宁,liaoning
6,6,,35,泉州,quanzhou,闽C,110,福建,fujian
6,6,http://www.ahjtxx.com/query/,37,合肥,hefei,皖A,56,安徽,anhui
4,0,http://www.jljj.cn/,38,长春,changchun,吉A,116,吉林,jilin
6,6,http://220.163.43.26:8080/ynviowww/surveil/index,40,昆明,kunming,云A,114,云南,yunnan
4,0,http://www.jljj.cn/,47,吉林,jilin,吉B,161,吉林,jilin
6,0,http://www.jsyzcgs.com/default.php,50,扬州,yangzhou,苏K,120,江苏,jiangsu
6,0,http://59.49.18.116:8008/sxwwpt_wai/inquire/illegalAction!carInquire.action?type=1,53,太原,taiyuan,晋A,101,山西,shan1xi
6,0,http://cx.ytjj.gov.cn:9081/ytjjvio/vehvio.action,54,烟台,yantai,鲁F,104,山东,shandong
-1,-1,http://60.190.151.158:8080/queryVehVio.do,55,嘉兴,jiaxing,浙F,185,浙江,zhejiang
-1,0,http://www.zeaer.com/henan/xinxiang/,56,新乡,xinxiang,豫G,103,河南,henan
0,6,http://www.xzjgw.com/2010cx/cars.php,57,徐州,xuzhou,苏C,119,江苏,jiangsu
6,0,http://www.zbjj.gov.cn/,58,淄博,zibo,鲁C,81,山东,shandong
0,6,http://www.ntjxj.com/InternetWeb/dzjk_check.jsp,59,南通,nantong,苏F,82,江苏,jiangsu
4,0,http://hainanjj.gov.cn/info5/search1.html,60,海口,haikou,琼A,94,海南,hainan
3,0,http://bsdt.jhga.gov.cn/egov/jhwas/portals/home_index.jsp,61,金华,jinhua,浙G,188,浙江,zhejiang
6,0,http://www.lycgs.gov.cn:9080/wscgsxxcx/jdcwfcx.do,67,临沂,linyi,鲁Q,230,山东,shandong
-1,0,http://www.wfcgs.com:9080/wscgsxxcx/jdcwfcx.do,68,潍坊,weifang,鲁G,224,山东,shandong
4,6,http://www.zjcgs.gov.cn/wfcx.aspx,69,镇江,zhenjiang,苏L,182,江苏,jiangsu
-1,6,http://wscgs.sxga.gov.cn/,70,绍兴,shaoxing,浙D,187,浙江,zhejiang
0,6,http://cgs.lygga.gov.cn/,72,连云港,lianyungang,苏G,179,江苏,jiangsu
6,-1,http://www.lycgs.com/service/SearchPage.aspx,76,洛阳,luoyang,豫C,236,河南,henan
0,6,http://www.gzjjzd.gov.cn/zhcx/jkjl.php,77,贵阳,guiyang,贵A,107,贵州,guizhou
6,0,http://221.2.145.164:9080/wscgsxxcx/jdcwfcx.do,82,威海,weihai,鲁K,227,山东,shandong
6,0,http://124.117.209.131:8088/WebVeh/WfQuery/JdcWfQuery/Search.aspx,83,乌鲁木齐,wulumuqi,新A,387,新疆,xinjiang
-1,0,http://wg.gsgajt.gov.cn:9080/GajtQuery/queryinfo/queryVehicleVio_main.jsp,84,兰州,lanzhou,甘A,361,甘肃,gansu
6,0,http://60.211.179.22:9080/wscgsxxcx/jdcwfcx.do,88,济宁,jining,鲁H,225,山东,shandong
4,0,http://www.asgajj.com/ok.asp?find=1,97,鞍山,anshan,辽C,151,辽宁,liaoning
6,0,http://www.dygajj.gov.cn:9080/wscgsxxcx/jdcwfcx.do,105,东营,dongying,鲁E,223,山东,shandong
6,6,,106,莆田,futian,闽B,207,福建,fujian
6,6,,107,漳州,zhangzhou,闽E,209,福建,fujian
4,3,http://www.dd122.com/pages/xxcx.asp,108,丹东,dandong,辽F,154,辽宁,liaoning
-1,0,http://www.qh.xinhuanet.com/trafficxn/,112,西宁,xining,青A,374,青海,qinghai
6,0,http://xxcx.hbsjg.gov.cn:8087/hbjj/,114,宜昌,yichang,鄂E,252,湖北,hubei
6,0,http://www.jzga.gov.cn/wzcx/lookup.aspx,115,焦作,jiaozuo,豫H,97,河南,henan
6,0,http://www.lcwscgs.com/wscgsxxcx/jdcwfcx.do,116,聊城,liaocheng,鲁P,232,山东,shandong
0,4,,118,安阳,anyang,豫E,238,河南,henan
-1,0,http://www.hljjj.gov.cn:8081/Home/Wfcx,120,大庆,daqing,黑E,90,黑龙江,heilongjiang
6,0,http://58.59.39.43:9080/wscgsxxcx/jdcwfcx.do,124,日照,rizhao,鲁L,228,山东,shandong
6,6,http://www.ahjtxx.com/query/,126,芜湖,wuhu,皖B,102,安徽,anhui
6,0,http://www.nycgs.cn/,129,南阳,nanyang,豫R,244,河南,henan
6,0,http://223.99.198.194:9080/wscgsxxcx/jdcwfcx.do,130,德州,dezhou,鲁N,231,山东,shandong
