app_name,云帐号
next,下一步
previous,上一步
cancel,取消
confirm,确定
logout_title,登出帐号
logout_title_text,正在登出, 请稍候...
checkphonenun,正在验证手机号码...
netbusymills,运营商网络繁忙，请稍等
        
SendMsgError,短信发送失败，请重试
comfirm_logout,确认登出
logout_hint,温馨提醒：登出帐号后将暂时无法使用相关云服务，如同步、备份等
deletedata_logout_tip,将会删除手机所有联系人、便签
leftdata_logout_default,保留数据（默认）
deletedata_logout,删除数据
agree,同意
reg_bindphone_desc,下面将引导您使用手机号快速注册淘宝帐号
reg_bindphone_warn,通信运营商可能对用于验证手机号的短信收费0.1元,无其他信息费。
reg_bindphone_other_link,使用其他手机号
reg_success_desc,此帐号可用于阿里巴巴旗下的YunOS、淘宝、支付宝、来往、虾米音乐、高德等服务。淘宝业务需进一步完善帐号信息，具体请打开淘宝客户端或登录淘宝网（http://www.taobao.com）。
reg_retrieve_password,更多帐号信息与设置请访问支付宝网站 (www.alipay.com)
reg_finish,完成
reg_success,注册成功
reg_input_pass,请输入您的密码
reg_input_repass,请再次输入密码
reg_pass_invalid,密码长度为6~20位字符
yunos_login,登录
login_out_account,登出帐号
yunos_login_act_alipayhint,手机号/邮箱
yunos_login_pwd,登录密码
yunos_account_import_loading,正在查找...
yunos_account_term,YunOS服务条款
yunos_import_aliyun_title,导入云帐号数据
yunos_import_aliyun_text1,您可以将以下云帐号数据导入到当前帐号中
yunos_act_and_pwd_null,帐号和密码不能为空
yunos_act_null,帐号不能为空
yunos_pwd_null,密码不能为空
yunos_act_or_pwd_error,您的帐号或密码错误
reg_revice_msg,重新获取短信
yunos_act_or_pwd_error_times,您的帐号或密码错误,您还有
yunos_account_manager,帐号管理
import_data_from_cloudaccount,导入云帐号数据
freeze_five_time_tip,您的帐号由于密码输错次数达到上限，已被锁定。请查收短信或邮件解锁，或3小时后重试。
yunos_freeze_import_tip,您的帐号由于密码输错次数达到上限，已被锁定。请在半小时后重试。
reg_validate_error,验证码错误,请重新输入
reg_validate_invalid,验证码已失效，请重新获取
reg_validate_empty_msg,验证码不能为空
reg_sending_msg,正在发送短信...
reg_checking_validatecode,正在验证验证码...
reg_register,正在注册帐号...
reg_repass_error,您两次输入的密码不一致
reg_input_validatecode_hint,输入校验码
reg_input_number_hint,请输入手机号
reg_error,注册失败
reg_code_send_frequently,您短时间内获取短信次数过多，请24小时之后再试。
reg_error_msg,抱歉,您当前手机号无法在本流程中完成注册,请访问淘宝网站(www.taobao.com)或换一个手机号注册。
yunos_have_know_tip,知道了
reg_mobile_number_error,输入的手机号码有误
yunos_change_account,切换帐号
yunos_import_in_progress,正在导入数据
yunos_import_success,恭喜，导入成功
yunos_import_failed,数据导入失败
yunos_reimport,重试
yunos_import_ok,完成
yunos_hadimport_ok,确定
yunos_data_hadimported_tip,该云帐号数据已经导出到其他帐号中，不能被再次导出。
reg_validate_number_msg,正在验证手机号码是否可以注册
reg_send_error,验证码发送失败
reg_current_number,使用当前手机号
change_validate_code,换一张
yunos_login_verify_tip,验证码不能为空
yunos_import_account_tip,如果您有云帐号，可以导入数据到当前帐号中
ask_connect_wifi,当前无网络连接，前去设置？
reg_title_msg,注册
yunos_login_default_failed_tip,登录失败
yunos_login_failed_net_tip,网络连接异常
yunos_login_old_account,手机号/云帐号名
yunos_register_upper_msg,密码不能为纯大写字母
yunos_register_lower_msg,密码不能为纯小写字母
yunos_register_number_msg,密码不能为纯数字
yunos_register_symbol_msg,密码不能为纯符号
yunos_register_notchar_msg,密码不能包含非法字符
yunos_input_validatecode_msg,验证码已自动填入
yunos_checking,正在验证……
yunos_help_title,帮助
yunos_os_login_title,登录云帐号
confirm_skip_btn,跳过
reg_inputnumber_desc,使用手机号快速注册淘宝帐号
reg_success_desc2,使用手机号快速注册淘宝帐号
ali_pass,使用淘宝帐号登录
free_register,免费注册
